Shipment ID,Shipper,Consignee,Origin Country,Origin Port,Destination Country,Destination Port,Incoterm,Mode,Container Size,Weight (kg),CBM,Commodity,HS Code,Customs Broker,Freight Charge,Customs Duties,Insurance,Total Cost,Customer Invoice,Margin,Status,ETD,ETA,Carrier,BOL Number
FF-8001,Shenzhen Huawei Electronics,Best Buy Distribution Center,China,Shenzhen,United States,Los Angeles,FOB,Ocean FCL,40ft,18500,52.0,Consumer Electronics,8471.30,Livingston International,3200.00,4625.00,380.00,8205.00,9800.00,1595.00,delivered,2026-02-15,2026-03-05,Maersk,MAEU219384756
FF-8002,Vietnam Textile Group,Gap Inc Warehouse,Vietnam,Ho Chi Minh City,United States,Long Beach,FOB,Ocean FCL,40ft,14200,68.0,Cotton Garments,6109.10,CH Robinson Global Forwarding,2800.00,2840.00,290.00,5930.00,7200.00,1270.00,delivered,2026-02-18,2026-03-08,CMA CGM,CMAU785412039
FF-8003,Guangzhou Furniture Co,Wayfair Fulfillment,China,Guangzhou,United States,Savannah,CIF,Ocean FCL,40ft,22000,65.0,Wood Furniture,9403.60,UPS Supply Chain Solutions,3600.00,3960.00,420.00,7980.00,9500.00,1520.00,delivered,2026-02-16,2026-03-06,COSCO,COSU634281957
FF-8004,BMW AG Regensburg,BMW Manufacturing SC,Germany,Hamburg,United States,Charleston,EXW,Ocean FCL,40ft,24000,48.0,Auto Parts,8708.99,Expeditors International,4200.00,1200.00,520.00,5920.00,6800.00,880.00,delivered,2026-02-20,2026-03-10,Hapag-Lloyd,HLCU902145638
FF-8005,Monterrey Steel Works,Nucor Corp Birmingham,Mexico,Altamira,United States,Houston,DDP,Ocean FCL,40ft,26000,38.0,Steel Coils,7208.51,A.N. Deringer Inc,1800.00,780.00,340.00,2920.00,3400.00,480.00,delivered,2026-02-25,2026-03-03,Maersk,MAEU318572904
FF-8006,Shanghai Toycraft Ltd,Target Distribution Center,China,Shanghai,United States,Long Beach,FOB,Ocean FCL,40ft,16000,72.0,Plastic Toys,9503.00,Livingston International,2900.00,3200.00,310.00,6410.00,7800.00,1390.00,delivered,2026-02-17,2026-03-07,MSC,MSCU471829305
FF-8007,Mumbai Spice Traders,McCormick & Company,India,Nhava Sheva,United States,New York/New Jersey,FOB,Ocean FCL,40ft,19000,44.0,Ground Spices,0904.11,CH Robinson Global Forwarding,3800.00,1520.00,360.00,5680.00,6200.00,520.00,delivered,2026-02-14,2026-03-09,MSC,MSCU582930174
FF-8008,Hangzhou Silk Industries,Nordstrom Warehouse,China,Ningbo,United States,Los Angeles,CIF,Ocean FCL,40ft,12000,58.0,Silk Textiles,5007.20,UPS Supply Chain Solutions,2600.00,3600.00,280.00,6480.00,7400.00,920.00,delivered,2026-02-19,2026-03-09,Maersk,MAEU427618305
FF-8009,Guadalajara Avocado Exports,Sysco Corporation,Mexico,Manzanillo,United States,Los Angeles,FOB,Ocean FCL,40ft,20000,42.0,Fresh Avocados,0804.40,A.N. Deringer Inc,1400.00,0.00,240.00,1640.00,2100.00,460.00,delivered,2026-03-01,2026-03-05,CMA CGM,CMAU893014562
FF-8010,Chennai Auto Components,Ford Motor Company,India,Chennai,United States,New York/New Jersey,EXW,Ocean FCL,40ft,21000,36.0,Engine Components,8409.91,Expeditors International,4100.00,840.00,480.00,5420.00,5600.00,180.00,delivered,2026-02-12,2026-03-08,Hapag-Lloyd,HLCU703918245
FF-8011,Dongguan Plastics Corp,Home Depot Distribution,China,Shenzhen,United States,Savannah,FOB,Ocean LCL,,4200,12.0,PVC Fittings,3917.40,Livingston International,680.00,420.00,85.00,1185.00,1500.00,315.00,delivered,2026-02-22,2026-03-12,Maersk,MAEU538204917
FF-8012,Hanoi Ceramics Co,Floor & Decor Holdings,Vietnam,Hai Phong,United States,Long Beach,FOB,Ocean FCL,40ft,25000,55.0,Ceramic Tiles,6908.90,CH Robinson Global Forwarding,2900.00,3750.00,350.00,7000.00,8200.00,1200.00,delivered,2026-02-20,2026-03-10,COSCO,COSU841753026
FF-8013,Qingdao Rubber Products,Goodyear Tire,China,Qingdao,United States,Long Beach,CIF,Ocean FCL,40ft,23000,50.0,Rubber Compound,4002.19,UPS Supply Chain Solutions,3100.00,1840.00,390.00,5330.00,5800.00,470.00,in_transit,2026-03-05,2026-03-22,MSC,MSCU694012538
FF-8014,Stuttgart Machine Works,Caterpillar Inc,Germany,Bremerhaven,United States,Charleston,DDP,Ocean FCL,40ft,28000,42.0,CNC Machine Parts,8466.93,Expeditors International,4800.00,1680.00,620.00,7100.00,7200.00,100.00,in_transit,2026-03-08,2026-03-25,Hapag-Lloyd,HLCU815263049
FF-8015,Tianjin Chemical Corp,Dow Chemical Freeport,China,Tianjin,United States,Houston,FOB,Ocean FCL,40ft,20000,35.0,Chemical Intermediates,2933.39,Livingston International,3400.00,2400.00,440.00,6240.00,6100.00,-140.00,in_transit,2026-03-06,2026-03-23,Maersk,MAEU649301827
FF-8016,Ho Chi Minh Footwear,Nike Distribution Center,Vietnam,Ho Chi Minh City,United States,Los Angeles,FOB,Ocean FCL,40ft,15000,70.0,Athletic Footwear,6404.11,CH Robinson Global Forwarding,2700.00,2100.00,300.00,5100.00,6400.00,1300.00,in_transit,2026-03-07,2026-03-24,CMA CGM,CMAU017529483
FF-8017,Nuevo Leon Auto Glass,General Motors Arlington,Mexico,Monterrey,United States,Laredo,EXW,Air,,3200,8.0,Windshield Glass,7007.21,A.N. Deringer Inc,4800.00,320.00,280.00,5400.00,5200.00,-200.00,in_transit,2026-03-18,2026-03-20,FedEx,FX-20260318-4521
FF-8018,Suzhou Electronics Ltd,Apple Distribution,China,Shanghai,United States,Los Angeles,FOB,Air,,2800,6.5,Circuit Boards,8534.00,UPS Supply Chain Solutions,8200.00,1960.00,520.00,10680.00,11500.00,820.00,in_transit,2026-03-19,2026-03-22,DHL,DHL-20260319-7832
FF-8019,Pune Pharma Ingredients,Pfizer McPherson,India,Mumbai,United States,New York/New Jersey,CIF,Air,,1500,3.0,Pharmaceutical API,2941.90,Expeditors International,6400.00,0.00,380.00,6780.00,7500.00,720.00,in_transit,2026-03-20,2026-03-23,DHL,DHL-20260320-9104
FF-8020,Chihuahua Wire Harness,Tesla Fremont,Mexico,Ciudad Juarez,United States,El Paso,DDP,Air,,4500,10.0,Wire Harnesses,8544.30,A.N. Deringer Inc,3200.00,0.00,180.00,3380.00,3200.00,-180.00,in_transit,2026-03-21,2026-03-22,FedEx,FX-20260321-6293
FF-8021,Zhejiang Solar Panel Co,First Solar Warehouse,China,Ningbo,United States,Long Beach,FOB,Ocean LCL,,6800,18.0,Solar Panel Components,8541.40,Livingston International,1200.00,0.00,150.00,1350.00,1800.00,450.00,in_transit,2026-03-10,2026-03-28,COSCO,COSU952814370
FF-8022,Wuhan Steel Trading,US Steel Gary Works,China,Shanghai,United States,Long Beach,FOB,Ocean FCL,40ft,27000,32.0,Cold-Rolled Steel,7209.16,CH Robinson Global Forwarding,3000.00,6750.00,480.00,10230.00,11000.00,770.00,in_transit,2026-03-08,2026-03-25,MSC,MSCU805174623
FF-8023,Guadalajara Tequila Exports,Southern Glazers Wine,Mexico,Manzanillo,United States,Long Beach,FOB,Ocean LCL,,8000,22.0,Tequila (bottled),2208.90,A.N. Deringer Inc,900.00,2400.00,120.00,3420.00,4000.00,580.00,in_transit,2026-03-12,2026-03-18,Maersk,MAEU760493218
FF-8024,Dhaka Garments Ltd,Walmart Import DC,Vietnam,Ho Chi Minh City,United States,Savannah,FOB,Ocean LCL,,5500,28.0,Knit Shirts,6109.90,Livingston International,850.00,1100.00,95.00,2045.00,2800.00,755.00,in_transit,2026-03-11,2026-03-29,CMA CGM,CMAU124807395
FF-8025,Wolfsburg Precision Tools,John Deere Waterloo,Germany,Hamburg,United States,New York/New Jersey,CIF,Ocean LCL,,3800,8.5,Precision Cutting Tools,8207.70,Expeditors International,1400.00,570.00,180.00,2150.00,2600.00,450.00,in_transit,2026-03-14,2026-03-28,Hapag-Lloyd,HLCU926037514